Day,Description,Temperature
Tonight,Partly cloudy and light winds,Low27° 81°
Tuesday 19th OctoberTue 19th,Sunny intervals and a gentle breeze,High32° 89°Low24° 75°
Wednesday 20th OctoberWed 20th,Sunny intervals and a gentle breeze,High32° 89°Low24° 75°
Thursday 21st OctoberThu 21st,Sunny intervals and a gentle breeze,High33° 91°Low24° 75°
Friday 22nd OctoberFri 22nd,Sunny intervals and a gentle breeze,High33° 91°Low23° 74°
Saturday 23rd OctoberSat 23rd,Sunny intervals and a gentle breeze,High32° 89°Low23° 74°
Sunday 24th OctoberSun 24th,Sunny intervals and a gentle breeze,High32° 89°Low24° 75°
Monday 25th OctoberMon 25th,Sunny intervals and a gentle breeze,High32° 89°Low24° 76°
Tuesday 26th OctoberTue 26th,Sunny intervals and a gentle breeze,High32° 90°Low25° 77°
Wednesday 27th OctoberWed 27th,Sunny intervals and a gentle breeze,High34° 93°Low25° 77°
Thursday 28th OctoberThu 28th,Sunny intervals and a gentle breeze,High34° 94°Low25° 77°
Friday 29th OctoberFri 29th,Sunny intervals and a gentle breeze,High34° 93°Low25° 76°
Saturday 30th OctoberSat 30th,Sunny intervals and a gentle breeze,High34° 93°Low24° 76°
Sunday 31st OctoberSun 31st,Sunny intervals and a gentle breeze,High34° 93°Low24° 76°
